Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,Latitude,Longitude,cluster
Philippines,Halayhay,60.0,1.0,26.0,2.5,60,14.3740113,120.8122706,2
Thailand,Surin,85.0,2.0,18.0,2.5,85,15.0610142,103.7613123,2
Indonesia,Madiun,136.25,3.5,3.0,2.5,135,-7.61188765,111.67319262808837,2
Philippines,Tarlac,136.25,2.0,25.0,2.5,135,15.4937252,120.4964091,2
Philippines,Tuba,55.0,1.0,25.0,2.5,55,16.3927028,120.5602008,2
Malaysia,Sungai Pelek,121.0,3.0,17.0,2.5,121,2.6432355,101.7164195,2
Philippines,Taal,75.0,1.0,21.0,2.5,75,13.8801817,120.9232723,2
Malaysia,Serendah,136.25,3.5,9.0,2.5,135,3.3651433,101.6033076,2
Indonesia,Margasari,136.25,3.5,8.0,2.5,135,-6.9541103,107.6573919,2
Philippines,Padada,89.0,1.0,13.0,2.5,89,6.6388664,125.3419089,2
Philippines,Lucban,74.0,2.0,22.0,2.5,74,14.114401,121.55486,2
Indonesia,Lembang,136.25,3.5,12.0,2.5,135,-6.8111033,107.6171239,2
Philippines,Iba,111.0,1.0,24.0,2.0,111,15.3264614,119.9801043,2
Malaysia,Kangar,105.0,2.0,13.0,2.5,105,6.4389312,100.1944838,2
Philippines,Kawit,74.0,1.0,28.0,2.5,74,14.4443142,120.9033242,2
Philippines,San Jacinto,89.0,1.0,27.0,2.5,89,12.5677,123.7337,2
Philippines,San Miguel,136.25,3.0,19.0,2.5,135,9.9863216,124.3385695,2
Indonesia,Ketanggungan,136.25,3.5,17.0,2.5,135,-6.9375405,108.8860305,2
Indonesia,Kadungora,136.25,3.5,2.0,2.5,135,-7.0899289,107.8864302,2
Indonesia,Jepara,132.0,3.0,9.0,2.5,132,-6.5899148,110.6672987,2
Cambodia,Ta Khmau,73.0,1.0,7.0,2.5,73,11.4687395,104.9451162,2
Indonesia,Randudongkal,136.25,3.5,8.0,2.5,135,-7.1029102,109.3250826,2
Philippines,Lalig,90.0,2.0,25.0,2.5,90,13.979233,121.3253343,2
Philippines,Lipa,93.0,2.0,25.0,2.5,93,13.9414686,121.1642877,2
Malaysia,Pasir Gudang,136.25,2.0,4.0,2.5,135,1.4953437,103.9207048,2
Indonesia,Tulangan,136.25,3.0,10.0,2.5,135,-7.4655613,112.6510185,2
Philippines,Malanday,136.25,3.5,19.0,2.5,135,14.7181214,120.9570468,2
Indonesia,Panarukan,85.0,3.0,17.0,2.5,85,-7.6949745,113.9362263,2
Indonesia,Serpong,136.25,3.5,10.0,2.5,135,-6.3131287,106.68073925095902,2
Philippines,Solano,56.0,1.0,13.0,2.5,56,16.5180604,121.1806163,2
Philippines,Paombong,103.0,3.0,27.0,2.5,103,14.8363954,120.7874997,2
Indonesia,Negara,67.0,3.0,21.0,2.5,67,-8.3585536,114.6218756,2
Indonesia,Nganjuk,136.25,3.5,6.0,2.5,135,-7.6023595,111.9010553,2
Philippines,Manila,131.0,3.0,25.0,2.5,131,14.5906346,120.9799964,2
Indonesia,Indramayu,98.0,2.0,29.0,2.0,98,-4.0517644,103.7798337,2
Philippines,Dalipuga,61.0,1.0,17.0,2.5,61,8.3059601,124.258587,2
Thailand,Phan Thong,129.0,3.0,3.0,2.5,129,13.4711731,101.0966223,2
Malaysia,Pengkalan Kundang,136.25,3.5,12.0,2.5,135,3.019104,101.5608447,2
Philippines,Quezon,113.0,1.0,27.0,2.0,113,14.6510546,121.0486254,2
Indonesia,Wonopringgo,136.25,3.5,21.0,2.5,135,-6.9891917,109.6306792,2
Singapore,Singapore,91.0,1.0,29.0,2.5,91,1.2899175,103.8519072,2
Indonesia,Pundong,136.25,3.5,16.0,2.5,135,-7.5754349,112.2181746,2
Philippines,Sapang,98.0,1.0,22.0,2.0,98,17.1831532,120.4753876,2
Philippines,Mabalacat,136.25,2.0,25.0,2.5,135,15.2250826,120.5733815,2
Philippines,Del Pilar,136.25,2.0,26.0,2.5,135,8.4688203,123.4210463,2
Thailand,Chiang Rai,67.0,2.0,13.0,2.0,67,19.7589517,99.6734592,2
Indonesia,Godean,136.25,3.5,14.0,2.5,135,-7.7674666000000006,110.29605014348246,2
Thailand,Na Klang,74.0,2.0,12.0,2.5,74,17.3010975,102.2059153,2
Indonesia,Bekasi,136.25,3.5,16.0,2.5,135,-6.2349858,106.9945444,2
Thailand,Bang Yai,136.25,3.5,4.0,2.5,135,13.8354131,100.3655147,2
Thailand,Bang Pakong,113.0,3.0,7.0,2.5,113,13.5006858,100.9892704,2
Philippines,Baloc,136.25,1.0,29.0,2.0,135,15.6433649,120.8847839,2
Myanmar,Kyaukse,66.0,1.0,6.0,2.5,66,21.57803905,96.1521055727707,2
Malaysia,Kuala Lipis,70.0,2.0,10.0,2.5,70,4.1869878,102.0544343,2
Indonesia,Palabuhanratu,136.25,3.5,25.0,2.5,135,-6.9882409,106.5503728,2
Myanmar,Maymyo,69.0,2.0,4.0,2.0,69,22.0331367,96.4667341,2
Indonesia,Barabai,67.0,2.0,5.0,2.0,67,-2.58553,115.3845228,2
Thailand,That Phanom,60.0,2.0,14.0,2.0,60,16.9427657,104.7278553,2
Malaysia,Sungai Petani,136.25,3.0,23.0,2.5,135,5.6435195,100.4869513,2
Thailand,Tak Bai,72.0,2.0,27.0,2.5,72,6.2597802,102.0533967,2
Indonesia,Tanggul,136.25,3.5,9.0,2.5,135,-8.1627667,113.4482705,2
Indonesia,Pamanukan,136.25,3.0,22.0,2.5,135,-6.2841644,107.8210101,2
Philippines,Silay,72.0,2.0,29.0,2.5,72,10.7994126,122.9756149,2
Philippines,San Pascual,70.0,1.0,25.0,2.5,70,13.7844912,121.0302229,2
Indonesia,Tegal,136.25,3.5,25.0,2.5,135,-7.05644335,109.13157658590205,2
Indonesia,Tuban,61.0,1.0,15.0,2.5,61,-6.8962656,112.0650714,2
Indonesia,Gebog,136.25,3.5,2.0,2.5,135,-6.7351047,110.8440684,2
Indonesia,Ciledug,136.25,3.5,11.0,2.5,135,-6.2411161,106.704292954179,2
Malaysia,Sungai Udang,92.0,2.0,21.0,2.5,92,2.2841096,102.1338866,2
Indonesia,Banjaran,136.25,3.5,10.0,2.5,135,-7.3607985,112.571678,2
Philippines,Cardona,120.0,2.0,30.0,2.5,120,14.4849786,121.2310927,2
Indonesia,Peterongan,136.25,3.0,11.0,2.5,135,-7.5102868,112.4884345,2
Indonesia,Jaten,136.25,3.5,8.0,2.5,135,-7.5775839,110.8955643,2
Indonesia,Pandegelang,136.25,3.5,17.0,2.5,135,-6.31,106.1058365,2
Malaysia,Jitra,134.0,3.0,17.0,2.5,134,6.2667849,100.4197465,2
Indonesia,Porong,136.25,3.0,11.0,2.5,135,-7.53058075,112.69915812799618,2
Thailand,Phon,93.0,2.0,14.0,2.5,93,15.8137152,102.6007983,2
Indonesia,Kertosono,136.25,3.5,10.0,2.5,135,-7.5921805,112.1006422,2
Malaysia,Juru,136.25,3.0,27.0,2.5,135,5.3157173,100.4379749,2
Indonesia,Curug,136.25,3.5,6.0,2.5,135,-6.2390565,106.56594964463723,2
Thailand,Phanom Sarakham,108.0,3.0,1.25,2.5,108,13.748243,101.3471785,2
Thailand,Suwannaphum,99.0,2.0,15.0,2.5,99,15.5989122,103.798411,2
Philippines,Tagoloan,54.0,1.0,18.0,2.5,54,8.1268565,124.2767478,2
Philippines,Tagum,91.0,2.0,6.0,2.5,91,7.4470784,125.8094853,2
Indonesia,Talang,136.25,3.5,18.0,2.5,135,-6.9119086,109.1326597,2
Philippines,Mapandan,97.0,2.0,27.0,2.5,97,16.0269118,120.4537476,2
Thailand,Wiset Chai Chan,103.0,2.0,11.0,2.5,103,14.5950475,100.3538907,2
Thailand,Chok Chai,72.0,2.0,22.0,2.5,72,14.731245,102.1680339,2
Indonesia,Pasarkemis,136.25,3.5,10.0,2.5,135,-6.1719337,106.562309,2
Thailand,Wiang Sa,82.0,2.0,4.0,2.5,82,18.5698641,100.751595,2
Malaysia,Sekudai,136.25,3.0,4.0,2.5,135,1.509806,103.6931651,2
Philippines,Malabanban,72.0,1.0,27.0,2.5,72,13.9289296,121.4326183,2
Philippines,Casisang,57.0,1.0,9.0,2.5,57,8.1348624,125.1269136,2
Myanmar,Mandalay,71.0,2.0,7.0,2.5,71,21.9596834,96.0948743,2
Indonesia,Brebes,136.25,3.5,23.0,2.5,135,-7.05207115,108.88813597074842,2
Philippines,Lusacan,90.0,2.0,25.0,2.5,90,13.952411,121.3440986,2
Indonesia,Gondang,136.25,3.5,9.0,2.5,135,-7.6118226,112.4893247,2
Indonesia,Srono,90.0,3.0,18.0,2.5,90,-8.4046066,114.2628193,2
Indonesia,Purwokerto,136.25,3.5,14.0,2.5,135,-7.4279011,109.2408501,2
Indonesia,Delanggu,136.25,3.5,3.0,2.5,135,-7.6160548,110.7002444,2
Thailand,Ron Phibun,119.0,3.0,5.0,2.5,119,8.1541306,99.8407292,2
Philippines,Santa Ana,136.25,2.0,25.0,2.5,135,18.4572501,122.1421667,2
Philippines,Pila,89.0,2.0,26.0,2.5,89,14.2347317,121.3640614,2
Thailand,Phra Phutthabat,112.0,2.0,18.0,2.5,112,14.7249566,100.792102,2
Indonesia,Jatiroto,136.25,3.5,10.0,2.5,135,-8.1232548,113.364155,2
Thailand,Bang Phae,133.0,3.0,3.0,2.5,133,13.6940797,99.927898,2
Thailand,Pho Thong,106.0,2.0,13.0,2.5,106,16.3136387,103.9327032,2
Philippines,San Luis,136.25,2.0,26.0,2.5,135,13.8549002,120.9162216,2
Indonesia,Banyuwangi,101.0,3.0,19.0,2.5,101,-8.3325711,114.14157903949865,2
Thailand,Narathiwat,84.0,3.0,20.0,2.0,84,6.4350352,101.8228923,2
Philippines,Palayan,106.0,2.0,18.0,2.5,106,15.5408666,121.0842988,2
Philippines,Bugo,53.0,1.0,18.0,2.5,53,8.5074399,124.7547847,2
Malaysia,Bukit Mertajam,136.25,3.0,24.0,2.5,135,5.3642519,100.4609867,2
Philippines,Bulihan,75.0,1.0,27.0,2.5,75,14.0358022,121.1372793,2
Indonesia,Samarinda,57.0,1.0,7.0,2.0,57,-0.5017804,117.1393089,2
Malaysia,Seremban,136.25,3.0,14.0,2.5,135,2.718407,101.94106957295432,2
Indonesia,Lhokseumawe,88.0,2.0,21.0,2.0,88,5.1789659,97.1480544,2
Indonesia,Lahat,109.0,3.5,3.0,2.5,109,-3.87934575,103.41408633497844,2
Malaysia,Kinarut,54.0,2.0,11.0,2.5,54,5.8244279,116.0431553,2
Thailand,Khon Kaen,96.0,2.0,20.0,2.5,96,16.6022387,102.6352933,2
Philippines,Castillejos,102.0,1.0,25.0,2.5,102,14.9320671,120.2005402,2
Philippines,Nagcarlan,86.0,2.0,24.0,2.5,86,14.1365862,121.412739,2
Philippines,Urbiztondo,119.0,2.0,26.0,2.5,119,15.8223901,120.3293751,2
Philippines,Batangas,72.0,2.0,25.0,2.5,72,13.9146826,121.0867566,2
Thailand,Ratchaburi,98.0,2.0,7.0,2.5,98,13.6317897,99.3558216,2
Malaysia,Paka,65.0,1.0,22.0,2.5,65,4.636872,103.435976,2
Indonesia,Pedan,136.25,3.5,6.0,2.5,135,-7.6918699,110.703215,2
Philippines,Mendez,81.0,2.0,23.0,2.5,81,14.1300751,120.9051427,2
Thailand,Nam Phong,86.0,2.0,21.0,2.5,86,16.7195764,102.8027756,2
Thailand,Pho Chai,84.0,2.0,24.0,2.5,84,15.595854,104.0933534,2
Indonesia,Rancaekek,136.25,3.5,3.0,2.5,135,-6.9648801,107.7559578,2
Indonesia,Mranggen,136.25,3.5,19.0,2.5,135,-7.5864748,110.342195,2
Indonesia,Wonosari,136.25,3.5,7.0,2.5,135,-6.9808905,110.31748689955147,2
Philippines,Santiago,62.0,1.0,13.0,2.5,62,16.6915963,121.5478637,2
Indonesia,Wlingi,136.25,3.5,10.0,2.5,135,-8.088369,112.3199588,2
Indonesia,Tulungagung,136.25,3.5,13.0,2.5,135,-8.07290355,111.89964078880708,2
Thailand,Ban Dung,82.0,3.0,8.0,2.5,82,17.6964507,103.2587765,2
Philippines,Tanay,120.0,2.0,28.0,2.5,120,14.4985359,121.2856331,2
Thailand,Bang Krathum,86.0,2.0,14.0,2.5,86,16.5766834,100.2990041,2
Indonesia,Gamping,136.25,3.5,12.0,2.5,135,-8.0884761,111.6039637,2
Philippines,Santa Ignacia,136.25,2.0,25.0,2.5,135,15.6161567,120.4359327,2
Indonesia,Rantauprapat,97.0,3.0,2.0,2.5,97,2.100033,99.82719358387867,2
Indonesia,Balaipungut,57.0,2.0,12.0,2.0,57,1.1066382,101.3073326,2
Indonesia,Rangkasbitung,136.25,3.5,9.0,2.5,135,-6.3526482,106.2515306,2
Thailand,Bang Ban,136.25,3.0,7.0,2.5,135,14.3741494,100.4860961,2
Thailand,Chaiyo,112.0,2.0,12.0,2.5,112,14.6646588,100.4671088,2
Thailand,Chachoengsao,136.25,3.0,3.0,2.5,135,13.6093192,101.5467201,2
Indonesia,Simpang,77.0,2.0,10.0,2.0,77,4.3563021,96.1663979,2
Malaysia,Bukit Baru,93.0,2.0,20.0,2.5,93,2.2176147,102.2734112,2
Malaysia,Rawang,136.25,3.5,8.0,2.5,135,3.3194651,101.5747699,2
Indonesia,Semarang,136.25,3.5,17.0,2.5,135,-6.9903988,110.4229104,2
Indonesia,Buaran,136.25,3.5,27.0,2.5,135,-6.2156064,106.92316,2
Philippines,Calauan,92.0,2.0,26.0,2.5,92,14.1453986,121.3149851,2
Malaysia,Alor Gajah,100.0,2.0,18.0,2.5,100,2.3834528,102.2107805,2
Indonesia,Pecangakan,136.25,3.0,10.0,2.5,135,-6.9187681,109.5423071,2
Thailand,Khao Wong,66.0,2.0,19.0,2.0,66,16.6889228,104.087874,2
Philippines,Meycauayan,136.25,3.5,22.0,2.5,135,14.7345008,120.9571635,2
Malaysia,Tangkak,107.0,2.0,17.0,2.5,107,2.25,102.5833333,2
Malaysia,Gua Musang,67.0,2.0,2.0,2.0,67,4.8792724,101.9652332,2
Indonesia,Sidareja,136.25,3.5,7.0,2.5,135,-7.4863529,108.8075095,2
Malaysia,Bemban,101.0,2.0,17.0,2.5,101,2.2660985,102.3767641,2
Indonesia,Boyolali,136.25,3.5,2.0,2.5,135,-7.387211799999999,110.70386905900187,2
Indonesia,Bandung,136.25,3.5,6.0,2.5,135,-6.9215529,107.6110212,2
Indonesia,Seyegan,136.25,3.5,12.0,2.5,135,-7.731004,110.29843820382959,2
Indonesia,Leuwiliang,136.25,3.5,8.0,2.5,135,-6.5745161,106.6343847,2
Indonesia,Grogol,136.25,3.5,7.0,2.5,135,-6.162071,106.7888748,2
Malaysia,Taiping,131.0,3.0,24.0,2.5,131,4.8546772,100.7438831,2
Indonesia,Soreang,136.25,3.5,5.0,2.5,135,-7.0268685,107.5167964,2
Philippines,Mawab,89.0,2.0,4.0,2.5,89,7.5076424,125.9207138,2
Thailand,Phrae,62.0,0.0,24.0,0.0,62,18.2930601,100.0886757,0
Myanmar,Syriam,62.0,0.0,23.0,0.0,62,16.7648126,96.2509473,0
Philippines,Calintaan,32.0,0.0,25.0,0.0,32,10.2716813,125.2461576,0
Indonesia,Rajapolah,58.0,1.0,35.0,0.0,58,-7.2417512,108.1844423,0
Thailand,Bang Sao Thong,59.0,1.0,20.0,1.0,59,13.6002751,100.8200739,0
Indonesia,Kuningan,56.0,1.0,31.0,0.0,56,-6.9629141,110.4157734,0
Thailand,Long,26.0,0.0,20.0,0.0,26,18.07478,99.8294612,0
Philippines,Cotabato,37.0,1.0,22.0,1.0,37,7.27,124.86,0
Thailand,Phichit,26.0,0.0,23.0,0.0,26,16.4551073,100.1924695,0
Indonesia,Amuntai,45.0,1.0,15.0,0.0,45,-2.4196178,115.2539707,0
Thailand,Tha Maka,33.0,0.0,22.0,0.0,33,13.9147738,99.768949,0
Philippines,Bais,83.0,1.0,14.0,0.0,83,9.5914759,123.121303,0
Indonesia,Mentok,50.0,1.0,30.0,0.0,50,0.9093,123.1922,0
Cambodia,Kampong Thum,44.0,1.0,21.0,0.0,44,12.0263549,105.51318051739632,0
Indonesia,Rantepao,14.0,0.0,14.0,0.0,14,-2.9704575,119.8987167,0
Myanmar,Henzada,50.0,0.0,23.0,0.0,50,17.6457472,95.4609517,0
Thailand,Chon Daen,34.0,0.0,24.0,0.0,34,16.1877761,100.8566287,0
Thailand,Lampang,34.0,0.0,23.0,1.0,34,18.6799728,99.7332501,0
Indonesia,Sumenep,51.0,1.0,35.0,0.0,51,-7.006745,113.8598666,0
Thailand,Kaeng Khlo,39.0,1.0,28.0,0.0,39,13.70317105,100.52172794561073,0
Indonesia,Karanganyar,72.0,1.0,35.0,0.0,72,-6.9732645,110.3332418,0
Philippines,Quisao,54.0,1.0,23.0,1.0,54,14.4357299,121.3353245,0
Indonesia,Kasihan,57.0,1.0,33.0,0.0,57,-7.81472015,110.33358617722354,0
Malaysia,Kuala Selangor,52.0,1.0,40.0,1.0,52,3.3621022,101.3455503,0
Indonesia,Teluk Nibung,64.0,2.0,32.0,0.0,64,0.4504666,103.4336208,0
Indonesia,Srandakan,42.0,1.0,24.0,0.0,42,-7.9599802,110.24073754303028,0
Myanmar,Yenangyaung,42.0,1.0,31.0,0.0,42,20.4608216,94.872961,0
Cambodia,Lumphat,48.0,1.0,24.0,0.0,48,13.4998503,106.9736284,0
Malaysia,Yong Peng,64.0,1.0,37.0,0.0,64,2.0131679,103.0570724,0
Philippines,Maluso,26.0,0.0,15.0,0.0,26,6.5460893,121.8712404,0
Malaysia,Sabak,51.0,1.0,43.0,1.0,51,6.1731165,102.3196956,0
Myanmar,Monywa,26.0,0.0,26.0,0.0,21,22.21360045,95.3422251118846,0
Indonesia,Depok,60.0,1.0,33.0,0.0,60,-6.40719,106.8158371,0
Philippines,Buluan,38.0,0.0,20.0,0.0,38,6.7166195,124.7865943,0
Myanmar,Kayan,56.0,0.0,24.0,0.0,56,16.905556,96.563056,0
Thailand,Pa Daet,28.0,0.0,26.0,0.0,28,19.4993982,99.9929974,0
Myanmar,Rangoon,38.0,0.0,24.0,0.0,38,16.7967129,96.1609916,0
Indonesia,Kediri,51.0,1.0,30.0,0.0,51,-7.8111057,112.0046051,0
Thailand,Hua Hin,29.0,0.0,18.0,0.0,29,12.5646241,99.9551707,0
Indonesia,Selogiri,46.0,1.0,26.0,0.0,46,-7.7798988,110.8918628,0
Indonesia,Sinjai,20.0,1.0,20.0,0.0,16,-5.2006665000000005,120.14418652445201,0
Indonesia,Luwuk,18.0,0.0,18.0,0.0,9,-0.9528231,122.7880198,0
Philippines,Liliw,49.0,1.0,26.0,1.0,49,14.1303236,121.4358499,0
Myanmar,Magway,23.0,0.0,23.0,0.0,18,20.2747958,94.7362245,0
Philippines,Lupao,73.0,1.0,23.0,2.0,73,15.8770143,120.8995214,0
Thailand,Mae Sot,18.0,0.0,18.0,0.0,16,16.714992,98.5695528,0
Malaysia,Pasir Mas,65.0,2.0,36.0,0.0,65,6.0416128,102.1429248,0
Indonesia,Ngemplak,63.0,1.0,35.0,0.0,63,-7.5258089,110.7965586,0
Philippines,Midsayap,54.0,1.0,25.0,0.0,54,7.1900605,124.5333614,0
Philippines,Alaminos,42.0,0.0,25.0,1.0,42,16.1553857,119.9792201,0
Thailand,Pathum Thani,63.0,1.0,26.0,1.0,63,14.048667,100.5640405,0
Thailand,Tha Muang,41.0,0.0,19.0,0.0,41,16.1137134,103.8728883,0
Indonesia,Pontianak,44.0,1.0,15.0,0.0,44,-0.0226903,109.3447488,0
Thailand,Khanu Woralaksaburi,46.0,0.0,20.0,0.0,46,16.0678644,99.8615515,0
Philippines,Pulilan,63.0,1.0,23.0,1.0,63,14.9022688,120.8487904,0
Thailand,Sam Phran,55.0,1.0,24.0,0.0,55,13.7258154,100.2138628,0
Thailand,Phayakkhaphum Phisai,43.0,0.0,28.0,0.0,43,15.5154777,103.1948473,0
Philippines,Polomolok,41.0,1.0,17.0,0.0,41,6.2202374,125.0628101,0
Thailand,Nong Khai,49.0,0.0,26.0,0.0,49,17.8825057,102.7482277,0
Indonesia,Jogonalan,59.0,1.0,28.0,1.0,59,-7.8291024,110.3510395,0
Thailand,Kranuan,42.0,0.0,28.0,0.0,42,16.7069169,103.0807347,0
Thailand,Lat Yao,20.0,0.0,20.0,0.0,17,15.7515633,99.7899048,0
Philippines,Longos,52.0,1.0,25.0,1.0,52,15.9857192,120.3542029,0
Philippines,Lutayan,53.0,1.0,24.0,0.0,53,6.5597164,124.8581111,0
Philippines,Makati,63.0,1.0,23.0,1.0,63,14.5567949,121.0211226,0
Indonesia,Klaten,48.0,1.0,27.0,0.0,48,-7.7124777,110.60305,0
Philippines,Magsaysay,57.0,1.0,23.0,0.0,57,9.036141,125.1434372659738,0
Indonesia,Tondano,29.0,0.0,15.0,0.0,29,1.3012112,124.9108982,0
Malaysia,Ranau,41.0,1.0,27.0,0.0,41,5.9511437,116.6662881,0
Malaysia,Raub,74.0,1.0,35.0,0.0,74,3.7912608,101.8534912,0
Philippines,Roxas,45.0,1.0,27.0,0.0,45,11.5895171,122.7500577,0
Thailand,Sa Kaeo,46.0,0.0,29.0,0.0,46,13.7686129,102.1345352,0
Philippines,Sagay,53.0,1.0,27.0,0.0,53,10.8960681,123.4154617,0
Philippines,Samal,61.0,1.0,16.0,0.0,61,7.0780265,125.7120437,0
Philippines,San Simon,54.0,1.0,27.0,0.0,54,14.9954506,120.7791636,0
Malaysia,Kuala Krai,64.0,1.0,27.0,0.0,64,5.4246182,102.1522508,0
Indonesia,Karangasem,44.0,1.0,26.0,0.0,44,-8.35863175,115.54725814473419,0
Cambodia,Kampong Chhnang,21.0,0.0,16.0,0.0,21,12.1382025,104.3354098,0
Indonesia,Garut,69.0,1.0,33.0,1.0,69,-7.2162543,107.9014912,0
Thailand,Takhli,27.0,0.0,23.0,0.0,27,15.2615395,100.3497755,0
Philippines,Teresa,65.0,1.0,25.0,2.0,65,14.5588946,121.2079458,0
Thailand,Bo Rai,40.0,1.0,15.0,1.0,40,12.5763363,102.5388043,0
Philippines,Buluangan,73.0,1.0,27.0,2.0,73,10.5572719,122.5477225,0
Indonesia,Dumai,70.0,2.0,16.0,0.0,70,1.6631967,101.4470369,0
Philippines,Manukan,36.0,1.0,21.0,0.0,36,8.5157792,123.0942844,0
Indonesia,Sampang,53.0,1.0,20.0,0.0,53,-7.05781575,113.25405409767842,0
Thailand,Sawang Daen Din,49.0,1.0,29.0,0.0,49,17.4763083,103.4586668,0
Indonesia,Sigli,40.0,1.0,35.0,0.0,40,5.3813126,95.957932,0
Indonesia,Situbondo,51.0,1.0,32.0,0.0,51,-7.7067843,114.0054142,0
Malaysia,Pekan,63.0,1.0,35.0,0.0,63,3.3781961,103.2096122,0
Thailand,Nakhon Pathom,35.0,0.0,24.0,0.0,35,13.8918425,100.0165659,0
Myanmar,Mawlaik,19.0,1.0,19.0,0.0,11,23.633333,94.416667,0
Thailand,Phitsanulok,51.0,0.0,24.0,0.0,51,16.9779975,100.3848239,0
Indonesia,Nabire,24.0,1.0,7.0,0.0,24,-3.360285,135.5023653,0
Myanmar,Pyapon,32.0,1.0,29.0,0.0,32,16.2890879,95.6800743,0
Thailand,Maha Sarakham,58.0,0.0,28.0,0.0,58,16.1880948,103.2987346,0
Malaysia,Kuala Pilah,64.0,1.0,38.0,1.0,64,2.7430758,102.2154881,0
Thailand,Kamphaeng Phet,136.25,1.0,25.0,0.0,135,16.4183581,99.6111616,0
Indonesia,Kanigoro,38.0,1.0,24.0,0.0,38,-8.1302582,112.2196146,0
Thailand,Kalasin,43.0,1.0,28.0,0.0,43,16.5912597,103.6525467,0
Indonesia,Gondanglegi,50.0,1.0,29.0,0.0,50,-8.1768283,112.6375967,0
Indonesia,Magelang,60.0,1.0,32.0,0.0,60,-7.4770747,110.2182164,0
Philippines,Pangil,51.0,1.0,26.0,2.0,51,14.4029123,121.4677652,0
Indonesia,Bambanglipuro,37.0,1.0,24.0,0.0,37,-7.93027285,110.32991404760689,0
Malaysia,Bidor,51.0,1.0,43.0,0.0,51,4.1138861,101.2883647,0
Myanmar,Myitkyina,48.0,1.0,27.0,0.0,48,25.3833313,97.3999925,0
Philippines,Masinloc,62.0,0.0,25.0,0.0,62,15.5386413,119.9496856,0
Philippines,Tubigon,66.0,1.0,20.0,0.0,66,9.9515287,123.9618897,0
Philippines,Wao,30.0,1.0,20.0,0.0,30,7.6382215,124.7241605,0
Thailand,Nong Khae,63.0,1.0,29.0,1.0,63,14.3360152,100.8714868,0
Philippines,Canlaon,44.0,1.0,17.0,0.0,44,10.386953,123.2186238,0
Myanmar,Bogale,34.0,0.0,24.0,0.0,34,16.2905973,95.3968502,0
Philippines,General Mamerto Natividad,95.0,1.0,31.0,1.0,95,15.6030982,121.0508107,0
Indonesia,Jember,46.0,1.0,27.0,0.0,46,-8.1688563,113.7021772,0
